EmployeeID,Age,Gender,Department,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Attrition
1,38.0,Male,HR,0.0,0.4,No,2.0,3,0.5,No
2,33.0,Male,HR,0.07538486690086726,0.25,No,2.0,2,0.30000000000000004,No
3,40.0,Female,Sales,0.1363752804678519,0.7000000000000001,No,1.0,2,0.5,No
4,47.0,Male,HR,0.1744094888565922,0.6000000000000001,No,3.0,3,0.2,No
5,33.0,Female,IT,0.1532902435162527,0.2,No,,3,0.1,Yes
6,33.0,Female,HR,0.09342620686459152,0.25,No,,4,0.6000000000000001,No
7,47.0,Female,Sales,0.025425223376633443,0.7000000000000001,No,2.0,2,0.0,No
8,41.0,Female,HR,0.09288297136942975,0.45,No,4.0,1,0.2,Yes
9,31.0,Female,Sales,0.12627135771542436,0.25,Yes,1.0,1,0.7000000000000001,No
10,39.0,Male,Sales,0.0,0.45,No,3.0,2,0.4,No
11,31.0,Female,Sales,0.06862403083311991,0.15000000000000002,Yes,2.0,1,0.5,No
12,31.0,Male,Sales,0.11778426856944985,0.2,No,2.0,2,0.1,No
13,36.0,Male,Finance,0.23188174458405791,0.5,No,4.0,3,0.2,Yes
14,22.0,Male,IT,0.1576670223872239,0.0,No,2.0,4,0.1,No
15,22.0,Female,HR,0.07075063044925062,0.0,Yes,,1,0.2,Yes
16,30.0,Male,Finance,0.24836031703326483,0.15000000000000002,No,4.0,4,0.2,No
17,26.0,Male,Sales,0.07791953678232094,0.0,No,2.0,3,0.30000000000000004,No
18,37.0,Male,IT,0.2516390393227836,0.35000000000000003,No,2.0,3,0.30000000000000004,No
19,27.0,Female,HR,0.0,0.25,Yes,,3,0.1,No
20,23.0,Female,Sales,0.15287702409931686,0.0,Yes,2.0,2,0.1,Yes
21,46.0,Female,Sales,,0.6000000000000001,Yes,2.0,3,0.4,No
22,33.0,Female,Sales,0.3011828888542752,0.35000000000000003,Yes,2.0,1,0.2,No
23,35.0,Male,Sales,0.0,0.4,Yes,2.0,2,0.2,No
24,23.0,Male,Sales,0.0,0.15000000000000002,No,1.0,2,0.4,No
25,30.0,Female,Sales,0.05372882250488209,0.0,No,2.0,3,0.2,No
26,35.0,Male,Finance,0.40916703461645904,0.35000000000000003,No,3.0,3,0.1,No
27,25.0,Male,Operations,0.0,0.0,No,3.0,4,0.6000000000000001,No
28,38.0,Male,Finance,0.18527419875982692,0.30000000000000004,No,1.0,3,0.2,Yes
29,30.0,Male,IT,0.32305519761800244,0.25,No,2.0,3,0.1,Yes
30,32.0,Male,HR,,0.25,No,4.0,4,0.5,No
31,30.0,Female,Sales,0.23596244723728715,0.25,No,4.0,3,0.0,No
32,49.0,Male,Operations,0.11594988330735162,0.55,Yes,2.0,2,0.30000000000000004,Yes
33,34.0,Female,IT,0.09278127562507482,0.4,No,1.0,4,0.0,Yes
34,26.0,Male,IT,0.32597862844623066,0.15000000000000002,Yes,,3,0.2,No
35,41.0,Male,Sales,0.2634898117598899,0.55,Yes,1.0,3,0.7000000000000001,No
36,25.0,Male,Operations,0.2391832415711606,0.0,Yes,2.0,2,0.2,No
37,36.0,Female,HR,0.2909824195091057,0.45,No,3.0,3,0.30000000000000004,No
38,22.0,Male,HR,0.34456062932931014,0.0,No,2.0,2,0.30000000000000004,No
39,24.0,Female,Sales,0.0,0.0,Yes,1.0,3,0.2,No
40,36.0,Female,HR,0.24952659987358833,0.4,No,3.0,4,0.30000000000000004,Yes
41,40.0,Female,Sales,0.0,0.5,No,4.0,2,0.2,No
42,36.0,Male,IT,0.29734805819056237,0.25,No,3.0,2,0.0,No
43,34.0,Male,IT,,0.5,No,3.0,2,0.30000000000000004,No
44,32.0,Male,IT,0.42371596249872884,0.4,No,1.0,3,0.2,No
45,23.0,Female,HR,0.2796311147784513,0.05,Yes,,1,0.30000000000000004,No
46,29.0,Male,IT,0.31972884567606424,0.2,Yes,2.0,2,0.6000000000000001,No
47,31.0,Female,IT,0.27781088968328854,0.25,No,2.0,3,0.30000000000000004,No
48,43.0,Female,Sales,0.13613455762994858,0.35000000000000003,Yes,2.0,3,0.1,Yes
49,37.0,Male,IT,0.24125448780745268,0.35000000000000003,No,3.0,3,0.4,No
50,22.0,Male,Operations,0.17155428428723513,0.0,Yes,,2,0.30000000000000004,No
51,37.0,Female,HR,0.3144303686663826,0.30000000000000004,No,1.0,3,0.30000000000000004,Yes
52,31.0,Male,Sales,0.2583071906614987,0.15000000000000002,No,2.0,1,0.1,No
53,29.0,Male,IT,0.20982921551387895,0.0,Yes,3.0,2,0.2,No
54,39.0,Female,IT,0.26842012442924873,0.30000000000000004,Yes,,3,0.1,No
55,43.0,Male,Finance,0.3494111301486688,0.6000000000000001,No,,4,0.1,No
56,42.0,Female,Finance,0.04423378693068081,0.65,No,,1,0.2,No
57,28.0,Female,Sales,0.03825948377180505,0.05,No,1.0,4,0.30000000000000004,No
58,32.0,Female,Sales,0.26257197548488914,0.25,No,2.0,2,0.30000000000000004,No
59,37.0,Male,Sales,0.0,0.45,No,2.0,4,0.2,No
60,42.0,Male,Finance,0.7157784165586418,0.4,No,4.0,3,0.1,No
61,31.0,Female,Sales,0.21303456239291368,0.25,Yes,,1,0.2,No
62,33.0,Male,Sales,0.12375342257671268,0.25,No,3.0,3,0.2,Yes
63,26.0,Male,Operations,,0.2,Yes,2.0,3,0.4,No
64,25.0,Male,Sales,0.0,0.0,Yes,1.0,1,0.30000000000000004,Yes
65,41.0,Male,IT,0.19074131048483117,0.35000000000000003,No,2.0,1,0.4,No
66,,Male,HR,0.31427846869380177,0.6000000000000001,No,2.0,4,0.30000000000000004,No
67,34.0,Female,Finance,0.2239443273727612,0.30000000000000004,No,4.0,3,0.2,No
68,43.0,Male,Sales,0.20017584352758083,0.5,Yes,3.0,3,0.2,No
69,37.0,Male,Finance,0.0865237691274891,0.4,Yes,3.0,1,0.2,No
70,29.0,Female,Sales,0.0,0.05,Yes,1.0,3,0.4,No
71,37.0,Female,HR,0.3734911376664302,0.2,No,2.0,3,0.0,No
72,47.0,Male,IT,,0.55,No,3.0,4,0.30000000000000004,No
73,34.0,Male,IT,0.1485272782743134,0.25,No,3.0,1,0.4,No
74,47.0,Female,Finance,0.5802887901682099,0.55,Yes,2.0,3,0.1,No
75,22.0,Female,Sales,0.22157314305501735,0.1,Yes,3.0,2,0.2,Yes
76,41.0,Female,HR,0.24725582401229623,0.55,No,4.0,3,0.4,Yes
77,35.0,Female,Sales,0.011210990349202643,0.35000000000000003,Yes,1.0,1,0.0,No
78,32.0,Male,IT,0.18739050007273178,0.25,No,3.0,3,0.1,No
79,35.0,Female,IT,0.2798499537219999,0.25,No,3.0,3,0.1,No
80,22.0,Male,Sales,0.15768761899367562,0.0,No,3.0,4,0.2,No
81,33.0,Female,HR,0.06327277501940587,0.15000000000000002,Yes,2.0,3,0.0,No
82,,Female,Sales,0.09701774011459435,0.30000000000000004,No,4.0,3,0.4,Yes
83,46.0,Female,Sales,0.10821585758476471,0.55,Yes,2.0,1,0.30000000000000004,No
84,30.0,Male,Sales,0.22631679897840834,0.05,Yes,1.0,3,0.1,No
85,28.0,Male,IT,0.3482577201873776,0.15000000000000002,No,2.0,4,0.30000000000000004,No
86,30.0,Female,Finance,0.06313889707747028,0.15000000000000002,Yes,3.0,1,0.0,Yes
87,42.0,Female,Sales,0.052486589678268136,0.45,Yes,3.0,2,0.2,No
88,37.0,Female,Sales,0.0,0.45,Yes,1.0,1,0.0,No
89,30.0,Male,Sales,0.14305373010979278,0.0,No,3.0,4,0.6000000000000001,Yes
90,39.0,Male,IT,0.37431500192449535,0.35000000000000003,No,,1,0.2,No
91,35.0,Female,IT,0.24740000025745762,0.05,No,2.0,4,0.1,Yes
92,42.0,Male,Finance,0.28637264152765035,0.5,No,2.0,3,0.0,No
93,,Female,Sales,,0.25,Yes,1.0,1,0.1,No
94,32.0,Male,HR,0.1556228091968997,0.1,No,1.0,4,0.1,No
